"idx","nome","categoria","subcategoria","grupoContabil","confianca"
"340","Retentor Para Máscara (3M 5000)","EPI — Equipamentos de Proteção Individual","Proteção respiratória — consumíveis (cartucho/filtro/retentor)","EPI","alta"
"341","Marrom Transparente (UC276)","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"342","Base Hookit (DR6-006)","Abrasivos e Polimento","Suportes e bases de abrasivos","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"343","Soquete Torx T-27 (t27)","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"344","Seladora Poliuretano (D854.11)","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Primers, wash primers e seladoras (fundos)","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"345","Primer Pu 3000 (513.000)","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Primers, wash primers e seladoras (fundos)","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"346","Perolizado Amarelo (UC606)","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"347","Camiseta","Uniforme / Fardamento","Uniforme — parte superior","EPI (separável de EPI de segurança — sem exigência de CA)","alta"
"348","Aluminio Brilhante (UC680)","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"349","Bermuda - 42","Uniforme / Fardamento","Uniforme — parte inferior","EPI (separável de EPI de segurança — sem exigência de CA)","alta"
"350","Suporte para Pistola (a-36)","Ferramentas Elétricas/Pneumáticas e Equipamentos","Pistolas de pintura e aerografia","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"351","Alumínio Orange (UC694)","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"352","Endurecedor Pu Alif (573.950)","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Endurecedores e catalisadores","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"353","Bota Pvc - 42","EPI — Equipamentos de Proteção Individual","Calçados de segurança","EPI","alta"
"354","Combinada 10","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"355","Massa Poliester (508.200)","Funilaria e Reparo de Carroceria","Massas de reparo (poliéster/plástica)","PRODUTIVO › Massas","alta"
"356","Boné Cinza C/ Tela","Apoio — Escritório, Cozinha, Limpeza e Cortesia","Cortesia / brindes (pós-venda)","ESCRITÓRIO / COZINHA-ALIMENTAÇÃO / DESPESAS FIXAS / Cortesia","alta"
"357","Botina - 35","EPI — Equipamentos de Proteção Individual","Calçados de segurança","EPI","alta"
"358","Soquete allen 7/32","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"359","Verde (UC288)","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"360","Combinada 11","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"361","Refletor Led","Ferramentas Elétricas/Pneumáticas e Equipamentos","Acesso, apoio e infraestrutura elétrica","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","media"
"362","Disco Flap Tyrolit (GR40)","Abrasivos e Polimento","Discos de desbaste e corte (esmerilhadeira)","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"363","Combinada 13","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"364","Calça","Uniforme / Fardamento","Uniforme — parte inferior","EPI (separável de EPI de segurança — sem exigência de CA)","alta"
"365","Alumínio Cobre","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"366","Calça","Uniforme / Fardamento","Uniforme — parte inferior","EPI","alta"
"367","Par de Cartucho Para Máscara","EPI — Equipamentos de Proteção Individual","Proteção respiratória — consumíveis (cartucho/filtro/retentor)","EPI","alta"
"368","Primer Pu P/plas 1k (900ml)","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Primers, wash primers e seladoras (fundos)","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"369","Thinner 7000","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Diluentes e thinners","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"370","Lixa Folha 150","Abrasivos e Polimento","Lixas em folha (manual / d'água)","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"371","Bit T-45","Ferramentas Manuais e Medição","Chaves de fenda, catraca e alicates","INVESTIMENTO › Internos (ativo durável)","media"
"372","Combinada Speedy 12","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"373","Chave Canhão 4","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"374","Chave Canhão 9","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"375","Combinada Articulada 17","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"376","Amarelo Limão","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"377","Chave Canhão 12","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"378","Castanho Transparente","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"379","Chave Canhão 13","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"380","Máscara Semi Facial Pequena","EPI — Equipamentos de Proteção Individual","Proteção respiratória — máscaras e respiradores","EPI","alta"
"381","Combinada Catraca 19","Ferramentas Manuais e Medição","Chaves de fenda, catraca e alicates","INVESTIMENTO › Internos (ativo durável)","alta"
"382","Combinada Catraca 22","Ferramentas Manuais e Medição","Chaves de fenda, catraca e alicates","INVESTIMENTO › Internos (ativo durável)","alta"
"383","Combinada Catraca 24","Ferramentas Manuais e Medição","Chaves de fenda, catraca e alicates","INVESTIMENTO › Internos (ativo durável)","alta"
"384","Combinada Articulada 18","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"385","Combinada Articulada 19","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"386","Botina - 41","EPI — Equipamentos de Proteção Individual","Calçados de segurança","EPI","alta"
"387","Manguito - P","EPI — Equipamentos de Proteção Individual","Proteção visual, auditiva e corporal","EPI","alta"
"388","Garrafa Quadrada","Aplicadores e Auxiliares de Mistura","Copos, potes e baldes de mistura","PRODUTIVO › Consumíveis de aplicação","media"
"389","Chave Canhão 14","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"390","Aerógrafo","Ferramentas Elétricas/Pneumáticas e Equipamentos","Pistolas de pintura e aerografia","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"391","Lixa Folha D'agua P320","Abrasivos e Polimento","Lixas em folha (manual / d'água)","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"392","Manta de Fibra de Vidro","Funilaria e Reparo de Carroceria","Laminação e fibra de vidro","PRODUTIVO › Massas","alta"
"393","Violeta","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"394","Fita Crepe Premium Azul","Mascaramento e Cobertura","Fita crepe / fita de mascaramento","PRODUTIVO › Fita Crepe / Papel / Máscara","alta"
"395","Chave Canhão 8","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"396","Combinada Articulada 9","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"397","Lixa Hookit P80","Abrasivos e Polimento","Discos de lixa Hookit (orbital / velcro)","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"398","Luva Neoprene - G","EPI — Equipamentos de Proteção Individual","Proteção das mãos — luvas reutilizáveis","EPI","alta"
"399","Rolo Antirespingo","Aplicadores e Auxiliares de Mistura","Rolos de pintura (capas e suportes)","PRODUTIVO › Consumíveis de aplicação","alta"
"400","Escova de Aço Latonado","Ferramentas Manuais e Medição","Ferramentas de corte/recorte e escovas","INVESTIMENTO › Internos (ativo durável)","alta"
"401","Preto Intenso","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"402","Preto","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"403","Verde Amarelado","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"404","Perolizado Azul Fino","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"405","Pistola de Pintura","Ferramentas Elétricas/Pneumáticas e Equipamentos","Pistolas de pintura e aerografia","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"406","Conjunto Trava Porta Pequeno","Peças, Fixação e Conexões","Peças de manutenção de equipamento (filtros, mancais, borrachas, gás)","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","baixa"
"407","Respirador Descartável - C/ Válvula","EPI — Equipamentos de Proteção Individual","Proteção respiratória — máscaras e respiradores","EPI","alta"
"408","Rosa","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"409","Arruela Pressão Média 5/16","Peças, Fixação e Conexões","Fixadores — arruelas","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"410","Rosa","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"411","Politriz","Ferramentas Elétricas/Pneumáticas e Equipamentos","Ferramentas elétricas de abrasão e acabamento","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"412","Caixa Luva Nitrílica M","EPI — Equipamentos de Proteção Individual","Proteção das mãos — luvas descartáveis","EPI","alta"
"413","Camiseta","Uniforme / Fardamento","Uniforme — parte superior","EPI","alta"
"414","Soquete Torx T-40 Longo","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"415","Amarelo Ouro","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"416","Catalisador Wash Primer","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Endurecedores e catalisadores","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"417","Copo 150 ML","Apoio — Escritório, Cozinha, Limpeza e Cortesia","Copa / descartáveis (alimentação)","ESCRITÓRIO / COZINHA-ALIMENTAÇÃO / DESPESAS FIXAS / Cortesia","media"
"418","Arruela Lisa Zincada 5/16","Peças, Fixação e Conexões","Fixadores — arruelas","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"419","Arruela Lisa Zincada 1/4","Peças, Fixação e Conexões","Fixadores — arruelas","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"420","Arruela Lisa Zincada 3/16","Peças, Fixação e Conexões","Fixadores — arruelas","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"421","Parafuso Allen Inox 10x25","Peças, Fixação e Conexões","Fixadores — parafusos e porcas","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"422","Parafuso Sextavado Zincado","Peças, Fixação e Conexões","Fixadores — parafusos e porcas","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"423","Rebite de Repuxo 516","Peças, Fixação e Conexões","Fixadores — rebites","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"424","Bateria 2.0ah","Ferramentas Elétricas/Pneumáticas e Equipamentos","Baterias e carregadores","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"425","Botina Reposição - 40","EPI — Equipamentos de Proteção Individual","Calçados de segurança","EPI","alta"
"426","Verde Paris Vinilico Brilhante","Matéria-Prima — Tintas e Toners (Cor)","Linha vinílica de plotagem (tintas, vernizes e solvente)","MATÉRIA-PRIMA › Tintas","alta"
"427","Verde Puro Vinilico Brilhante","Matéria-Prima — Tintas e Toners (Cor)","Linha vinílica de plotagem (tintas, vernizes e solvente)","MATÉRIA-PRIMA › Tintas","alta"
"428","Verde Médio Vinilico Brilhante","Matéria-Prima — Tintas e Toners (Cor)","Linha vinílica de plotagem (tintas, vernizes e solvente)","MATÉRIA-PRIMA › Tintas","alta"
"429","Caixa Pote Redondo","Aplicadores e Auxiliares de Mistura","Copos, potes e baldes de mistura","PRODUTIVO › Consumíveis de aplicação","alta"
"430","Verniz Viniclico Fosco","Matéria-Prima — Tintas e Toners (Cor)","Linha vinílica de plotagem (tintas, vernizes e solvente)","MATÉRIA-PRIMA › Tintas","alta"
"431","Laranja","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"432","Verniz Vinilico Brilhante","Matéria-Prima — Tintas e Toners (Cor)","Linha vinílica de plotagem (tintas, vernizes e solvente)","MATÉRIA-PRIMA › Tintas","alta"
"433","Laranja Vinilico Brilhante","Matéria-Prima — Tintas e Toners (Cor)","Linha vinílica de plotagem (tintas, vernizes e solvente)","MATÉRIA-PRIMA › Tintas","alta"
"434","Perolizado Bordo","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"435","Perolizado Cobre","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"436","Soquete Sextavado 13","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"437","Adesivo Vinil Black","Plotagem e Adesivação","Vinil de recorte / adesivo colorido","PRODUTIVO › Adesivos / Máscara / Impressão","alta"
"438","Amarelo Limão","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"439","Copo Cristal 145ml","Aplicadores e Auxiliares de Mistura","Copos, potes e baldes de mistura","PRODUTIVO › Consumíveis de aplicação","media"
"440","Aluminio Super Fino","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"441","Tomada 20a Preta","Ferramentas Elétricas/Pneumáticas e Equipamentos","Acesso, apoio e infraestrutura elétrica","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"442","Fita Dupla Face","Funilaria e Reparo de Carroceria","Selantes e vedantes de carroceria","PRODUTIVO › Massas","media"
"443","Fita Veda Rosca","Peças, Fixação e Conexões","Conexões e redução (pneumática/hidráulica)","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"444","Power Bank Portátil 5000mAh sem fio 20W","Apoio — Escritório, Cozinha, Limpeza e Cortesia","Informática / eletrônicos de apoio","ESCRITÓRIO / COZINHA-ALIMENTAÇÃO / DESPESAS FIXAS / Cortesia","alta"
"445","Perolizado Red Violet","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"446","Rolo de Lona Plastica","Mascaramento e Cobertura","Plástico e filme de cobertura","PRODUTIVO › Fita Crepe / Papel / Máscara","alta"
"447","Lixa Folha D'agua P1200","Abrasivos e Polimento","Lixas em folha (manual / d'água)","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"448","Calça - 40","Uniforme / Fardamento","Uniforme — parte inferior","EPI","alta"
"449","Camisa - M","Uniforme / Fardamento","Uniforme — parte superior","EPI","alta"
"450","Primer Pu Fast Dry","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Primers, wash primers e seladoras (fundos)","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"451","Chave Catraca Pequena","Ferramentas Manuais e Medição","Chaves de fenda, catraca e alicates","INVESTIMENTO › Internos (ativo durável)","alta"
"452","Botina Reposição - 42","EPI — Equipamentos de Proteção Individual","Calçados de segurança","EPI","alta"
"453","Amarelo Transparente","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"454","Vermelho Avioletado","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"455","Pu Branco","Matéria-Prima — Tintas e Toners (Cor)","Tintas e bases prontas (acrílico, sintético, base coat)","MATÉRIA-PRIMA › Tintas","media"
"456","Peneira","Aplicadores e Auxiliares de Mistura","Dosagem, transferência e filtragem","PRODUTIVO › Consumíveis de aplicação","alta"
"457","Primer 8200","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Primers, wash primers e seladoras (fundos)","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"458","Pu Preto Intenso","Matéria-Prima — Tintas e Toners (Cor)","Tintas e bases prontas (acrílico, sintético, base coat)","MATÉRIA-PRIMA › Tintas","media"
"459","Verniz Fosco","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Vernizes e clears (acabamento)","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"460","Clear","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Vernizes e clears (acabamento)","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"461","Endurecedor Primer Epoxi","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Endurecedores e catalisadores","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"462","Amarelo Alaranjado","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"463","Wash Primer","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Primers, wash primers e seladoras (fundos)","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"464","Lapis 6b","Apoio — Escritório, Cozinha, Limpeza e Cortesia","Escritório / administrativo","ESCRITÓRIO / COZINHA-ALIMENTAÇÃO / DESPESAS FIXAS / Cortesia","media"
"465","Cavalete Para Pintura","Ferramentas Elétricas/Pneumáticas e Equipamentos","Acesso, apoio e infraestrutura elétrica","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"466","Endurecedor Medio PPG","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Endurecedores e catalisadores","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"467","Endurecedor Rapido PPG","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Endurecedores e catalisadores","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"468","Preto Chassis","Matéria-Prima — Tintas e Toners (Cor)","Tintas de chassi e acabamento direto","MATÉRIA-PRIMA › Tintas","alta"
"469","Soquete Sextavado 18","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"470","Aluminio Médio","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"471","Pincel Médio","Aplicadores e Auxiliares de Mistura","Pincéis e pincéis de retoque","PRODUTIVO › Consumíveis de aplicação","alta"
"472","Branco","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"473","Soquete Sextavado 7","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"474","Máscara","Plotagem e Adesivação","Máscara de transferência de adesivo (transfer tape)","PRODUTIVO › Adesivos / Máscara / Impressão","alta"
"475","Massa Plastica","Funilaria e Reparo de Carroceria","Massas de reparo (poliéster/plástica)","PRODUTIVO › Massas","alta"
"476","Bateria 2.0ah","Ferramentas Elétricas/Pneumáticas e Equipamentos","Baterias e carregadores","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"477","Boné Cinza","Apoio — Escritório, Cozinha, Limpeza e Cortesia","Cortesia / brindes (pós-venda)","ESCRITÓRIO / COZINHA-ALIMENTAÇÃO / DESPESAS FIXAS / Cortesia","alta"
"478","Super Bonder","Funilaria e Reparo de Carroceria","Selantes e vedantes de carroceria","PRODUTIVO › Massas","media"
"479","Macho","Ferramentas Manuais e Medição","Ferramentas de corte/recorte e escovas","INVESTIMENTO › Internos (ativo durável)","media"
"480","Endurecedor Wash Primer","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Endurecedores e catalisadores","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"481","Papel Kraft","Mascaramento e Cobertura","Papel e bobina de cobertura","PRODUTIVO › Fita Crepe / Papel / Máscara","alta"
"482","Rolo de Fita Para Arquear","Peças, Fixação e Conexões","Abraçadeiras e presilhas","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","baixa"
"483","Tomada 20a Vermelha","Ferramentas Elétricas/Pneumáticas e Equipamentos","Acesso, apoio e infraestrutura elétrica","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"484","Tampa P/ Condulete 2 Modulos","Peças, Fixação e Conexões","Mangueiras, conduletes e suportes (hidráulica/elétrica de parede)","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"485","Esmalte Sintetico Branco","Matéria-Prima — Tintas e Toners (Cor)","Tintas e bases prontas (acrílico, sintético, base coat)","MATÉRIA-PRIMA › Tintas","alta"
"486","Espatula de Aço","Aplicadores e Auxiliares de Mistura","Espátulas de funilaria/massa","PRODUTIVO › Consumíveis de aplicação","alta"
"487","Seladora Plastico","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Primers, wash primers e seladoras (fundos)","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"488","Desengripante","Peças, Fixação e Conexões","Peças de manutenção de equipamento (filtros, mancais, borrachas, gás)","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","baixa"
"489","Primer Pu Cinza","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Primers, wash primers e seladoras (fundos)","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"490","Branco Vinilico Brilhante","Matéria-Prima — Tintas e Toners (Cor)","Linha vinílica de plotagem (tintas, vernizes e solvente)","MATÉRIA-PRIMA › Tintas","alta"
"491","Preto Vinilico Brilhante","Matéria-Prima — Tintas e Toners (Cor)","Linha vinílica de plotagem (tintas, vernizes e solvente)","MATÉRIA-PRIMA › Tintas","alta"
"492","Calça","Uniforme / Fardamento","Uniforme — parte inferior","EPI (separável de EPI de segurança — sem exigência de CA)","alta"
"493","Soquete Sextavado 6","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"494","Selo Metalico Para Arquear","Peças, Fixação e Conexões","Abraçadeiras e presilhas","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","baixa"
"495","Caixa Luva Nitrílica P","EPI — Equipamentos de Proteção Individual","Proteção das mãos — luvas descartáveis","EPI","alta"
"496","Rebitadeira de Rosca Pneumatica","Ferramentas Elétricas/Pneumáticas e Equipamentos","Ferramentas de fixação e furação","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"497","Aluminio Medio Limpo","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"498","Vermelho Azulado","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"499","Azul Escuro","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"500","Arruela zincada 10mm","Peças, Fixação e Conexões","Fixadores — arruelas","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"501","Pincel","Aplicadores e Auxiliares de Mistura","Pincéis e pincéis de retoque","PRODUTIVO › Consumíveis de aplicação","alta"
"502","Bisnaga Plastico","Aplicadores e Auxiliares de Mistura","Dosagem, transferência e filtragem","PRODUTIVO › Consumíveis de aplicação","alta"
"503","Bisnaga Plastica","Aplicadores e Auxiliares de Mistura","Dosagem, transferência e filtragem","PRODUTIVO › Consumíveis de aplicação","alta"
"504","Pá de Lixo Inox","Apoio — Escritório, Cozinha, Limpeza e Cortesia","Higiene e limpeza/zeladoria","ESCRITÓRIO / COZINHA-ALIMENTAÇÃO / DESPESAS FIXAS / Cortesia","alta"
"505","Disco Flap Vila","Abrasivos e Polimento","Discos de desbaste e corte (esmerilhadeira)","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"506","Pistola Pintura K3","Ferramentas Elétricas/Pneumáticas e Equipamentos","Pistolas de pintura e aerografia","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"507","Aerógrafo","Ferramentas Elétricas/Pneumáticas e Equipamentos","Pistolas de pintura e aerografia","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"508","Óculos de Proteção","EPI — Equipamentos de Proteção Individual","Proteção visual, auditiva e corporal","EPI","alta"
"509","Balde Plástico","Aplicadores e Auxiliares de Mistura","Copos, potes e baldes de mistura","PRODUTIVO › Consumíveis de aplicação","media"
"510","Camisa - G","Uniforme / Fardamento","Uniforme — parte superior","EPI (separável de EPI de segurança — sem exigência de CA)","alta"
"511","Azul Esverdeado","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"512","Combinada Speedy 9","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","media"
